Organization/Person Name,Number of Investments,Number of Exits,Region,Score
StepStone Group,82,9.0,US,100.0
Techstars,6149,508.0,US,7165.0
IndieBio,529,6.0,US,541.0
Coinbase,34,2.0,US,38.0
Khosla Ventures,1249,170.0,US,1589.0
Alumni Ventures,1871,164.0,US,2199.0
Thrive Capital,351,73.0,US,497.0
500 Global,3155,383.0,US,3921.0
Pfizer,51,19.0,US,89.0
Mission BioCapital,73,18.0,US,109.0
BlockTower Capital,53,1.0,US,55.0
General Atlantic,469,155.0,US,779.0
BoxGroup,689,123.0,US,935.0
Hack VC,197,13.0,US,223.0
F-Prime Capital,471,93.0,US,657.0
Propel(X),92,7.0,US,106.0
AbbVie,74,15.0,US,104.0
Alexandria Venture Investments,270,52.0,US,374.0
Elemental Impact,197,27.0,US,251.0
Plug and Play,1929,181.0,US,2291.0
RA Capital Management,432,193.0,US,818.0
B Capital,231,18.0,US,267.0
Point72 Ventures,195,25.0,US,245.0
MRL Ventures Fund,47,13.0,US,73.0
Benhamou Global Ventures,111,21.0,US,153.0
Wellington Management,265,125.0,US,515.0
Norwest Venture Partners,945,209.0,US,1363.0
Andreessen Horowitz,1621,236.0,US,2093.0
Headline,496,77.0,US,650.0
Ripple,38,3.0,US,44.0
International Finance Corporation,558,143.0,US,844.0
EXPERT DOJO,298,4.0,US,306.0
Lowercarbon Capital,141,1.0,US,143.0
Accel,2128,388.0,US,2904.0
Republic,73,2.0,US,77.0
Avalanche,31,,US,
Autotech Ventures,73,12.0,US,97.0
Bessemer Venture Partners,1433,310.0,US,2053.0
Craft Ventures,308,24.0,US,356.0
General Catalyst,1381,206.0,US,1793.0
Nexus Venture Partners,373,52.0,US,477.0
Science,64,11.0,US,86.0
Biogen,30,18.0,US,66.0
Orange DAO,218,3.0,US,224.0
Pear VC,387,29.0,US,445.0
Polychain,267,6.0,US,279.0
Gaingels,846,57.0,US,960.0
Sequoia Capital,2059,409.0,US,2877.0
Digital Currency Group,338,43.0,US,424.0
Lightspeed Venture Partners,1439,245.0,US,1929.0
SixThirty,178,27.0,US,232.0
Adjacent,37,2.0,US,41.0
Trousdale Ventures,84,1.0,US,86.0
Sapphire Ventures,345,97.0,US,539.0
Flourish Ventures,155,11.0,US,177.0
Arca,45,2.0,US,49.0
Endeavor,46,2.0,US,50.0
Menlo Ventures,801,181.0,US,1163.0
Hamilton Lane,58,11.0,US,80.0
Bristol-Myers Squibb,96,17.0,US,130.0
TEDCO,227,20.0,US,267.0
Forerunner,253,39.0,US,331.0
Quona Capital,157,5.0,US,167.0
8VC,522,42.0,US,606.0
Fin Capital,129,9.0,US,147.0
BITKRAFT Ventures,184,9.0,US,202.0
Sutter Hill Ventures,327,103.0,US,533.0
Toyota Ventures,115,6.0,US,127.0
gener8tor,270,15.0,US,300.0
Invest Nebraska,227,11.0,US,249.0
M12 - Microsoft's Venture Fund,305,39.0,US,383.0
Abstract Ventures,279,22.0,US,323.0
Betaworks,232,72.0,US,376.0
Sands Capital Ventures,174,42.0,US,258.0
ARCH Venture Partners,495,109.0,US,713.0
Union Square Ventures,462,61.0,US,584.0
Floodgate,381,101.0,US,583.0
Bond,96,5.0,US,106.0
Notable Capital,446,92.0,US,630.0
ICONIQ Growth,227,36.0,US,299.0
Borderless Capital,136,,US,
Uncork Capital,427,110.0,US,647.0
Wefunder,43,3.0,US,49.0
S2G Ventures,167,6.0,US,179.0
Triangle Tweener Fund,170,2.0,US,174.0
Ridge Ventures,196,60.0,US,316.0
