Organization/Person Name,Number of Investments,Number of Exits
European Innovation Council,1116,30
Innovate UK,1074,66
Crowdcube,1036,32
Global Founders Capital,992,93
HTGF | High-Tech Gruenderfonds,921,120
Hiventures,747,7
Technology Development Fund,694,14
Almi Invest,612,46
Seedcamp,601,68
Startup Wise Guys,593,10
Partech,581,106
Northstar Ventures,536,26
Eight Roads Ventures,535,114
Speedinvest,492,42
3i Group,472,192
Business Growth Fund,457,89
HV Capital,454,90
Entrepreneur First,448,32
SoftBank Vision Fund,448,65
Internet Initiatives Development Fund (IIDF),448,4
Octopus Ventures,433,58
Balderton Capital,427,83
LocalGlobe,396,68
Future Planet Capital,376,22
Par Equity,371,16
British International Investment,366,56
Novo Holdings,360,97
Sofinnova Partners,333,67
Parkwalk Advisors,321,30
Seedrs,318,22
Tenity,316,9
Eleven Ventures,315,6
Portugal Ventures,315,30
Picus Capital,307,14
Northzone,306,48
Ascension,293,23
IP Group,288,31
Earlybird Venture Capital,287,58
Point Nine,284,42
Amadeus Capital Partners,276,60
Seventure Partners,275,67
Vaekstfonden,260,38
Novartis Venture Fund,258,72
Creandum,256,39
Anthemis,254,27
Omnes Capital,251,92
HBM Healthcare Investments,248,77
b2venture,245,34
Wellington Partners,244,60
Bayern Kapital,241,28
Rockstart,241,13
Atomico,241,42
IBB Ventures,240,38
EIT Digital Accelerator,235,42
Chalmers Ventures AB,234,13
Verve Ventures,233,23
Notion Capital,232,29
Alven,227,37
83North,227,34
MMC Ventures,225,25
Molten Ventures,220,50
RTP Global,220,27
Atlantic Labs,220,29
Seed Capital,219,35
360 Capital,218,44
Target Global,216,24
XAnge,216,37
Cherry Ventures,215,18
Ventech,213,49
EIT InnoEnergy,211,5
TA Ventures,209,44
Project A Ventures,204,32
Andera Partners,203,61
EQT Ventures,203,20
SICTIC,203,14
Breakthrough Energy Ventures,201,5
Innovation Capital,201,
Heartcore Capital,200,23
Industrifonden,200,33
Inveready,199,30
Bethnal Green Ventures,198,3
Elaia,197,40
Aster,196,19
Newfund,196,33
Foresight Group,195,33
Venrex,194,16
Crédit Mutuel Equity,194,35
Business Finland,192,14
Salica,191,17
Criteria Venture Tech,189,46
KfW,188,49
Gimv,188,60
Oxford Capital,186,18
Lakestar,184,27
Abingworth,182,84
APX,179,5
Mangrove Capital Partners,175,27
LAUNCHub Ventures,170,10
Downing Ventures,170,20
CDP Venture Capital,167,1
Innovacom,167,44
Binance Labs,165,
Lifeline Ventures,164,20
Frontline Ventures,163,19
Fuel Ventures,162,5
Scottish Equity Partners,162,57
Force Over Mass Capital,162,16
Auriga Partners,162,40
Act Venture Capital,162,58
Cabiedes & Partners,160,23
Firstminute Capital,159,9
Techstart Ventures,159,7
LVenture Group,159,6
Nauta Capital,157,25
Janus Henderson Investors,156,101
GSR,155,1
Rocket Internet,155,46
redalpine,155,13
Entrepreneur Venture,155,40
Kinnevik,154,33
7percent Ventures,154,12
IQ Capital,153,17
Inventure,153,19
Oxford Science Enterprises,152,13
Centre for the Development of Industrial Technology (CDTI),152,8
Runa Capital,151,25
Unilever Ventures,151,29
Forbion Capital Partners,150,47
Investor Growth Capital Limited,146,63
Mercia Fund Managers,143,14
Isai,142,24
Pario Ventures,142,20
Karista,141,31
Seraphim Space,140,5
IRIS,140,38
M Ventures,139,15
Kreos Capital,138,61
TGFS - Technologiegründerfonds Sachsen,138,9
Star Ventures,138,45
Possible Ventures,137,1
Swisscom Ventures,137,39
PSV,136,26
Serena,133,23
Oxford Technology Management,133,20
Seedstars,130,7
Atlantic Bridge,129,32
Hedosophia,128,20
468 Capital,128,10
Tiny VC,128,12
Dawn Capital,127,21
Tesi,127,19
ZBS CAPITAL,127,
SGH CAPITAL,125,32
Credo Ventures,124,14
1kx,124,1
Breega,123,13
MH Ventures,122,1
SyndicateRoom,122,7
Cathay Capital,122,21
Acton Capital,122,42
Mountain Partners,122,32
HealthCap,121,35
Connect Ventures,121,18
Wellcome Trust,120,38
BOM,120,13
Felix Capital,120,12
PMV,119,20
Uncorrelated Ventures,119,4
AXA Venture Partners,118,17
Hummingbird Ventures,118,11
Episode 1,118,8
GO CAPITAL,117,11
UBS,116,29
Kibo Ventures,116,19
UK Innovation & Science Seed Fund,115,7
Investinor,114,18
QVentures,114,11
Capnamic Ventures,113,16
Social Tech Trust,113,3
Playfair Capital,112,10
Highland Europe,112,24
Leblon Capital,111,9
Katapult,111,4
eCAPITAL ENTREPRENEURIAL PARTNERS,111,21
Gilde Healthcare,111,39
UVC Partners,111,9
S.R.I.W.,111,15
Lightrock,110,4
Hoxton Ventures,110,15
bmp Ventures,110,17
Redstone.VC,109,8
Investisseurs & Partenaires,109,9
Target Partners,109,22
Kurma Partners,108,12
EQT,107,47
BayBG Venture Capital,107,12
Icebreaker.vc,106,4
Capricorn Partners,105,29
M Capital Partners,105,18
Aglaé Ventures,104,3
VentureFriends,104,6
Delta Partners,104,25
JamJar Investments,104,16
Catapult Ventures,103,29
Piton Capital,103,13
VI Partners,103,20
Midlands Engine Investment Fund,103,2
Starquest Capital,103,8
University of Cambridge Enterprise,103,4
La Famiglia,103,9
Praetura Ventures,101,4
Founders Future,101,2
TVM Capital,101,33
TMT Investments,101,16
The North West Fund,101,10
AA Sons,100,10
24 Haymarket,99,11
Fabric Ventures,99,2
Kennet Partners,98,44
Worth Capital,98,2
Pi Labs,97,9
Alma Mundi Ventures,97,8
Forward Partners,97,16
Alpana Ventures,97,9
Mercia Asset Management,97,16
Practica Capital,96,3
Finorpa,96,9
P101,95,16
JME Ventures,95,8
ICF Capital,95,9
Hasso Plattner Ventures,95,23
Aslanoba Capital,94,14
coparion,94,11
Daphni,93,6
K Fund,93,8
Angels Capital,93,3
Draper B1,93,1
Metaplanet,92,3
Kindred Capital,92,8
Pontaq,92,
Creathor Ventures,92,22
Calm/Storm Ventures,91,2
Crane Venture Partners,91,5
10x Group,91,14
VNV Global,91,12
Crédit Mutuel Innovation,91,26
Advent Venture Partners,91,34
HOWZAT Partners,91,16
Cavalry Ventures,90,4
Cambridge Innovation Capital,89,9
Wintermute Ventures,89,1
Foundamental,89,5
Mosaic Ventures,89,24
Seaya,89,10
Finnvera Venture Capital,89,19
TotalEnergies Ventures,89,19
Initial Capital,89,21
Limburgse Reconversie Maatschappij,88,15
Axeleo Capital,87,12
Nextech Invest,87,37
Acurio Ventures,87,7
Cipio Partners,87,40
Financiere Saint James,87,6
JOINT JOURNEY,87,8
MIG Capital,87,12
OpenOcean,86,14
Cogitent Ventures,86,1
Kernel Capital,86,17
Armilar Venture Partners,86,11
Business Angels Switzerland (BAS),86,3
TEV Ventures,86,23
BACKED VC,85,8
Maven 11 Capital,85,
Moscow Seed Fund,85,1
Kingsway Capital,84,8
BioMedPartners,84,21
Fly Ventures,83,7
Demeter Partners,83,10
Concept Ventures,82,2
Future Energy Ventures,82,11
SquareOne Venture Capital,82,8
Inkef,82,17
Deepbridge Capital,81,
Bek Ventures,81,7
50 Partners,81,8
Emerald Technology Ventures,81,12
Vorwerk Ventures,81,12
Mouro Capital,81,8
LVP,81,16
Norrsken VC,80,2
Flashpoint,80,8
Demeter,80,4
PROfounders Capital,80,20
Rheingau Founders,80,11
BlueYard Capital,79,1
Club Italia Investimenti 2,79,9
Motier Ventures,79,
Blue Horizon Corporation,79,3
Steadview Capital,79,11
Redbus Ventures,79,4
Peak,79,8
Otium Capital,78,7
Talis Capital,78,17
Manta Ray Ventures,77,3
CapHorn Invest,76,10
42CAP,76,4
aws Gründungsfonds,76,9
Faraday Venture Partners,76,6
ODYSSEE VENTURE,76,35
Smedvig Ventures,75,15
Innovation Nest,75,7
Axon Partners Group,75,12
Grazia Equity,75,20
Maki.vc,74,5
Butterfly Ventures,74,2
IFB Innovationsstarter,74,5
Norfund,74,7
Eden Ventures,74,20
Demium Capital,74,
Old College Capital,73,2
Triple Point Ventures,73,4
HCVC,73,6
