Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Deckmatch,https://www.crunchbase.com/organization/deckmatch,Growing,,"DeckMatch simplifies routine tasks through automation, helping VC professionals optimize their workflow and concentrate on their tasks. The company aims to enhance the art of investment, transforming ordinary tasks that occupy daily routines into actions that carry substantial and meaningful significance. By freeing investors from the burden of routine duties, the opportunity arises for them to concentrate on what is genuinely important - the establishment and nurturing of impactful, value-centered connections.",,"Analytics, Artificial Intelligence (AI), Information Technology","Oslo, Oslo, Norway",Deckmatch is an AI-driven platform that enhances investment deal flow by automating routine tasks for venture capital professionals.,151,2023-01-01,day,,"Léopold Gasteen, Walid Mustapha",Private,157,,2024-11-11,2,Seed,3000000,USD,3000000,Seed,4090453,USD,4090453,3000000,USD,3000000,Seed,4090453,USD,4090453,"Luminar Ventures, Skyfall Ventures, Alliance VC, First Degree Capital, Nicolaj Nielsen",6,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.deckmatch.com,https://www.linkedin.com/company/deckmatch,,1-10
Miros,https://www.crunchbase.com/organization/miros-ai,,,"Miros utilizes advanced AI technology to analyze shopper behaviors, identifying key interactions like scrolls and clicks to enhance user experience. This innovative feature allows customers to browse the store without typing, improving engagement and simplifying the shopping process. Miros also offers insights and expert blogging on leveraging AI for product discovery to help grow e-commerce businesses.  --- eCommerce loses half of its sales because in this industry nobody knows how to make the products findable. If you can’t find, you can’t buy. No universal taxonomy exists to describe visual items. Shoppers do not know the right words to search for what they like. Meanwhile, because you can’t filter products by how much you like them, you’ll have to browse thousands of products – many of which you’ll dislike. When shopping feels tedious, the shopper quits. Miros gives shoppers a new language to express what they are looking for - far richer and more accurate than any existing search technology.",,"Artificial Intelligence (AI), E-Commerce, Fashion, Product Search, Retail Technology, Search Engine","Tallinn, Harjumaa, Estonia","Miros utilizes AI technology to analyze shopper behaviors, identifying key interactions like scrolls and clicks to enhance user experience.",187,2021-10-01,month,,"Diana Saarva, Heikki Haldre, Paul Pallin",Private,193,,2024-11-05,4,Seed,6000000,EUR,6536161,Seed,9400000,EUR,10323326,6000000,EUR,6536161,Seed,9400000,EUR,10323326,"Tera Ventures, EBRD Venture Capital, Everywhere Ventures, ZAKA VC, BADideas.fund",13,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Hardware, Internet Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://miros.ai,https://www.linkedin.com/company/mirosai,info@miros.ai,11-50
Verax AI,https://www.crunchbase.com/organization/verax-ai,,,"Seeks to be the leading provider of enterprise-grade trust solutions for Generative AI, enabling companies worldwide to build or adopt any Generative AI agent with confidence",,"DevOps, Enterprise Software, Generative AI","London, England, United Kingdom","Verax AI plans to create a Control Center for organizations to manage LLMs, simplify AI use, and promote ethical AI.",336,2023-01-01,year,,,Private,344,,2024-10-30,1,Seed,7600000,USD,7600000,Seed,7600000,USD,7600000,7600000,USD,7600000,Seed,7600000,USD,7600000,"Concept Ventures, TQ Ventures, XTX Ventures, Seedcamp, Cardumen Capital",6,"Artificial Intelligence (AI), Information Technology, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.verax.ai/,https://www.linkedin.com/company/verax-ai/,info@verax.ai,1-10
TON Provider,https://www.crunchbase.com/organization/ton-provider,Growing,CH-8008,"Edge Data Center Operator TON Provider extend the edge of the network to deliver cloud computing resources and cached streaming content to local end users delivering faster services with low latency thanks to edge caching.  TON Provider is an internet company that provides data center services for TON blockchain orient projects, companies and businesses. TON DC Cluster,  TON Edge Services exclusively designed for decentralized TON infrastructure, simplifying the TON Blockchain journey for users and developers alike. It embodies the fundamental right to digital property for everyone. We firmly believe that providing a robust and resilient infrastructure for TON users and developers is crucial for the successful future development of TON.  The decentralized principles underpinning the structure of TON Datacenters Clusters are pivotal because they form the foundation for highly resilient and flexible network scalability.  Only a distributed network structure across multiple TON Datacenters in different countries and jurisdictions can guarantee independence from local governments, industrial lobbies, and financial structures. TON DC Cluster services encompass physical colocation and hosting services for infrastructure,  as well as dedicated data center services for various TON projects, including hosting services for startups based on TON technologies, serving as incubators.",,"Artificial Intelligence (AI), Blockchain, Cloud Data Services, Content Delivery Network, Data Center, IaaS, Infrastructure, IT Infrastructure, Network Hardware, PaaS","Zürich, Zurich, Switzerland","TON DC is an internet company that operates as a decentralized network data center, supporting the dynamic development of the TON ecosystem.",345,2021-09-15,day,,Alex Konviser,Private,354,,2023-11-29,2,Seed,2500000,USD,2500000,Seed,4134090,USD,4134090,2500000,USD,2500000,Seed,4134090,USD,4134090,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Content and Publishing, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://tonprovider.org,https://www.linkedin.com/company/tonprovider,web@tonprovider.org,1-10
Black Forest Labs,https://www.crunchbase.com/organization/black-forest-labs-01de,,79098,"Black Forest Labs creates advanced generative deep learning models for images and videos. They focus on making these technologies widely accessible and transparent, ensuring that their innovations are easy to use and understand. This approach aims to democratize access to cutting-edge technology and foster greater trust and utility.",,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Software","Freiburg Im Breisgau, Baden-Wurttemberg, Germany","Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.",427,2024-01-01,year,,,Private,441,,2024-08-01,1,Seed,28000000,EUR,30202193,Seed,28000000,EUR,30202193,28000000,EUR,30202193,Seed,28000000,EUR,30202193,"General Catalyst, Andreessen Horowitz, Mätch VC, Garry Tan, Brendan Iribe",8,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://blackforestlabs.ai,https://www.linkedin.com/company/bflml,,11-50
Bioptimus,https://www.crunchbase.com/organization/bioptimus,Growing,75009,"Bioptimus is a developer of a universal AI foundation model that connects biology at all sizes, from molecules to cells, tissues, and entire organisms. The company's technology turns multiscale data into actionable representations, allowing clients to spark breakthrough discoveries and expedite biomedical innovation.",,"Artificial Intelligence (AI), Biotechnology, Generative AI","Paris, Ile-de-France, France",Bioptimus is a developer of a universal AI foundation model for biology.,538,2024-01-01,year,,"David Cahané, Eric Durand, Felipe Llinares López, Jean-Philippe Vert, Rodolphe Jenatton, Zelda Mariet",Private,555,,2024-02-20,1,Seed,35000000,USD,35000000,Seed,35000000,USD,35000000,35000000,USD,35000000,Seed,35000000,USD,35000000,"Owkin, Bpifrance, Headline, Sofinnova Partners, Hummingbird Ventures",10,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.bioptimus.com/,https://www.linkedin.com/company/bioptimus,,1-10
Siit,https://www.crunchbase.com/organization/siit-e9b9,,75017,"Siit is a leading AI-powered Service Desk solution for IT and internal operations teams. The platform harnesses advanced AI technology to revolutionize employee support and streamline operations. For more information, please visit https://www.siit.io/",,"Information Technology, IT Management, SaaS, Software","Paris, Ile-de-France, France",AI-powered Service Desk solution for IT and internal operations teams,581,2021-01-01,year,,"Anthony Tobelaim, Chalom Malka, Dimitri Cabete Jorge",Private,599,,2024-11-07,1,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,Seed,5000000,USD,5000000,"Seventure Partners, StageOne Ventures",2,"Information Technology, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.siit.io/,https://www.linkedin.com/company/siit-app,contact@siit.io,11-50
OpenOrigins,https://www.crunchbase.com/organization/openorigins,Growing,W1K 3HU,,,"Cryptocurrency, Cyber Security, Developer Tools, Software","London, England, United Kingdom","OpenOrigins is a software development company that offers tools for cryptography, trusted execution, and distributed systems.",793,,,,,Private,816,,2024-10-31,1,Seed,4500000,USD,4500000,Seed,4500000,USD,4500000,4500000,USD,4500000,Seed,4500000,USD,4500000,"Galaxy Interactive, Unbound",2,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Payments, Privacy and Security, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.openorigins.com/,https://www.linkedin.com/company/openorigins,hi@openorigins.com,11-50
Bubty,https://www.crunchbase.com/organization/bubty,Growing,2515vk,"Bubty is a global leading Freelance Management System (FMS) helping companies save time on all administrative workloads of managing freelancers, take care of all legal pain points and risks of misclassification, and allows companies to scale globally with Bubty’s AI-driven global payment solution, making sure companies stay compliant, and pay globally across over 190 countries.",,"Cloud Management, Freelance, Management Information Systems, Software, Virtual Workforce","The Hague, Zuid-Holland, The Netherlands","Bubty helps companies manage their freelance workforce by automating the entire hiring onboarding, compliance and payment process.",812,2020-06-10,day,,"Benjamin Schriel, Lee Willoughby",Private,836,,2024-11-11,4,Seed,3000000,EUR,3214769,Seed,5050000,EUR,5486081,3000000,EUR,3214769,Seed,5050000,EUR,5486081,,,"Administrative Services, Information Technology, Internet Services, Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.bubty.com,https://www.linkedin.com/company/bubty,info@bubty.com,11-50
Calvin Risk,https://www.crunchbase.com/organization/calvin-risk,,,"Calvin Risk develops comprehensive and quantitative solutions for assessing and managing the risks of commercial AI algorithms. Its risk assessment framework and risk management platform lay the groundwork for reliable and responsible AI. The company is based in Zurich, Switzerland.",,"Artificial Intelligence (AI), Consulting, Risk Management, Software","Zürich, Zurich, Switzerland",Provides comprehensive and quantitative solutions to assess and manage the risks of AI algorithms in commercial use,879,2022-01-01,year,,,Private,913,,2024-11-19,3,Seed,4000000,USD,4000000,Seed,5500000,USD,5500000,4000000,USD,4000000,Seed,5500000,USD,5500000,"Founderful, seed + speed Ventures, b2venture, Join Capital, Diana zur Löwen",5,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.calvin-risk.com,https://www.linkedin.com/company/calvin-risk-ag,,1-10
tozero,https://www.crunchbase.com/organization/tozero,Growing,80639,"tozero was founded in July 2022 in Munich, Germany, by Sarah Fleischer and Dr. Ksenija Milicevic Neumann. They are on a mission to build a scalable lithium-ion battery recycling machine to recover the critical materials inside, like lithium, nickel, cobalt, and graphite in a sustainable way. www.tozero.solutions",,"Battery, Recycling","Munich, Bayern, Germany",Recycling lithium-ion batteries.,965,2022-07-01,month,,"Ksenija Milicevic Neumann, Sarah Fleischer",Private,"1,003",,2024-11-12,3,Seed,11000000,EUR,11669948,Seed,17000000,EUR,17893799,11000000,EUR,11669948,Seed,14500000,EUR,15169241,"Verve Ventures, European Innovation Council, In-Q-Tel, Possible Ventures, Atlantic Labs",15,"Energy, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.tozero.solutions,https://www.linkedin.com/company/tozero.solutions,hello@tozero.solutions,11-50
Gendo,https://www.crunchbase.com/organization/gendo,Growing,,"Gendo is a browser-based application that assists designers by producing images from their designs rapidly. It eliminates the need for extensive software licenses and expensive hardware, making the design process more accessible. The platform leverages generative AI and machine learning to enhance creative workflows for architects and designers.",,"Generative AI, Graphic Design, Software","London, England, United Kingdom",Gendo is a browser-based platform that generates images from designs.,"1,054",2022-01-01,year,,,Private,"1,095",,2024-11-15,2,Seed,5100000,EUR,5378204,Seed,6462969,USD,6462969,5100000,EUR,5378204,Seed,6462969,USD,6462969,"Baobab Network, Concept Ventures, PT1, LEA Partners, Ascension Ventures",6,"Artificial Intelligence (AI), Design, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.gendo.ai,https://www.linkedin.com/company/gendo-ai,,1-10
Oxla,https://www.crunchbase.com/organization/oxla,,00-844,"Meet Oxla, the world's fastest-distributed database, designed to handle large amounts of data with ease.  Our unique, simple structure allows 10x faster query execution than the current state-of-the-art solutions (e.g. Snowflake) and data infrastructure cost reduction by up to 70%. Our solution is perfect for companies processing large amounts of data in industries such as business intelligence, IoT, cybersecurity, ad tech, data science, or AI/ML coaching.",,"Analytics, Big Data, Database","Warsaw, Mazowieckie, Poland",Oxla is a SaaS company that offers a distributed database designed to handle large amounts of data with ease.,"1,260",2020-07-24,day,,Adam Szymański,Private,"1,306",,2024-10-22,2,Seed,11000000,USD,11000000,Seed,11000000,USD,11000000,11000000,USD,11000000,Seed,11000000,USD,11000000,"TQ Ventures, Lead Ventures, 4growth VC, Warsaw Equity Group",4,"Data and Analytics, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.oxla.com/,https://www.linkedin.com/company/oxla/,adam@oxla.com,11-50
