Organization/Person Name,Number of Investments,Number of Exits
StepStone Group,82,9
Techstars,6149,508
IndieBio,529,6
Coinbase,34,2
Khosla Ventures,1249,170
Alumni Ventures,1871,164
Thrive Capital,351,73
500 Global,3155,383
Pfizer,51,19
Mission BioCapital,73,18
BlockTower Capital,53,1
General Atlantic,469,155
BoxGroup,689,123
Hack VC,197,13
F-Prime Capital,471,93
Propel(X),92,7
AbbVie,74,15
Alexandria Venture Investments,270,52
Elemental Impact,197,27
Plug and Play,1929,181
RA Capital Management,432,193
B Capital,231,18
Point72 Ventures,195,25
MRL Ventures Fund,47,13
Benhamou Global Ventures,111,21
Wellington Management,265,125
Norwest Venture Partners,945,209
Andreessen Horowitz,1621,236
Headline,496,77
Ripple,38,3
International Finance Corporation,558,143
EXPERT DOJO,298,4
Lowercarbon Capital,141,1
Accel,2128,388
Republic,73,2
Avalanche,31,
Autotech Ventures,73,12
Bessemer Venture Partners,1433,310
Craft Ventures,308,24
General Catalyst,1381,206
Nexus Venture Partners,373,52
Science,64,11
Biogen,30,18
Orange DAO,218,3
Pear VC,387,29
Polychain,267,6
Gaingels,846,57
Sequoia Capital,2059,409
Digital Currency Group,338,43
Lightspeed Venture Partners,1439,245
SixThirty,178,27
Adjacent,37,2
Trousdale Ventures,84,1
Sapphire Ventures,345,97
Flourish Ventures,155,11
Arca,45,2
Endeavor,46,2
Menlo Ventures,801,181
Hamilton Lane,58,11
Bristol-Myers Squibb,96,17
TEDCO,227,20
Forerunner,253,39
Quona Capital,157,5
8VC,522,42
Fin Capital,129,9
BITKRAFT Ventures,184,9
Sutter Hill Ventures,327,103
Toyota Ventures,115,6
gener8tor,270,15
Invest Nebraska,227,11
M12 - Microsoft's Venture Fund,305,39
Abstract Ventures,279,22
Betaworks,232,72
Sands Capital Ventures,174,42
ARCH Venture Partners,495,109
Union Square Ventures,462,61
Floodgate,381,101
Bond,96,5
Notable Capital,446,92
ICONIQ Growth,227,36
Borderless Capital,136,
Uncork Capital,427,110
Wefunder,43,3
S2G Ventures,167,6
Triangle Tweener Fund,170,2
Ridge Ventures,196,60
Ballistic Ventures,54,4
Boston Scientific,51,18
Bonfire Ventures,160,43
Invesco,99,42
Alpha Wave Global,128,15
Third Prime,126,8
UpHonest Capital,277,31
Google Ventures,1154,255
Bling Capital,139,7
IAG Capital Partners,47,2
